party,n. 当事人; 社交聚会; 党，党派; 同类，伙伴 v. 为…举行社交聚会; 为…请客; 参加社交聚
spread,vt.& vi. 展开; 伸开; （使）传播; （使）散布 n. 范围; 连续的一段时间 vt. 涂
study,n. 学习，研究; 课题; 书房; 结论 vi. 考虑; 沉思; 默想; 努力 vt. 想出; 详细
maths,n. 数学; =mathematics（英）
riddle,n. 谜语; 粗筛; 猜不透的难题，难解之谜 v. 用筛分选（卵石等），筛分; 用子弹把耙子打成蜂窝
delicious,adj. 美味的，可口的; 有趣的; 喷香
notice,n. 注意; 预告; 布告; 警告 vt.& vi. 注意 vt. 通知; 注意到; 留心; 关照 
least,adj. 最小的; 最少的（ little的最高级）; 最不重要的，地位最低的 adv. 最少，最小
painter,n. 画家，着色者; 油漆匠; （系船的）缆绳; 破诡计
pleased,adj. 高兴的; 自鸣得意; （用于初次见面握手时）很高兴认识您; 称心满意 v. 喜欢; （使…
gun,n. 枪; 发令枪声; 受雇杀人的枪手; 喷射器 vt. 射击（某人）; 给…加大油门; 打猎 vi
reason,n. 原因; 理由; 理性; 理智 vt.& vi. 推理，思考; 争辩; 辩论; 向…解释
pay,vt.& vi. 付款; 偿还; 补偿; （对…）有利 vt. 支付; 给予 n. 工资; 薪水; 
yard,n. 院子; 场地; 码（等于3英尺或36英寸或0。9144米）; 帆桁
flight,n. 航班; 飞翔; （物体的）飞行; 楼梯的一段 vi. 成群地迁徙或飞行 vt. 射击; 使惊飞
secret,n. 秘诀; 奥秘; 秘密，机密 adj. 隐秘的; 神秘的; 秘密的，机密的
fill,vt.& vi. （使）充满，（使）装满 vt. 满足; 配药; （按订单）供应; 使充满（感情） 
arrive,vi. 到达，来; 发生
whether,pron. 其中的哪一个 n. 可能的选择
thin,adj. 薄的; 瘦的; 细的; 稀少的 vt. 使瘦; 使淡; 使稀疏 vi. 变薄; 变瘦; 变
read,vt.& vi. 阅读，朗读; 显示; 研究; 看得懂 vt. 阅读; 显示; 读懂，理解 n. 阅
energy,n. 精力; 活力; [物]能量; 精神
thankful,adj. 欣慰的; 感谢的，感激的
careless,adj. 粗心的; 无忧无虑的; 漫不经心的，不介意的; 淡漠的
drop,vt.& vi. （使）落下; 投下; （使）降低; 减少 vt. 放弃; 停止; （故意）降下; 
provide,vt.& vi. 提供，供给，供应 vt. 规定; 提供(+for); 装备; 预备 vi. 抚养，
gift,n. 天赋; 赠送; 赠品，礼物; 天资 vt. 赋予; 向…赠送; 天赋权力（或才能等）; 授予
tour,n. 巡回演出; 旅行，观光; 任职期; 轮班 vt. 到…旅游; 在…巡回演出 vi. 巡回; 观
reach,v. 到达，走到; 够…，抓…; 完成 n. 手脚能够到的范围; 范围，区域; 影响的范围，管辖的范
magic,n. 魔法; 巫术; 戏法; 不可思议的魔力 adj. 魔术的; 幻术的; 不可思议的; 有奇异魔力
inspector,n. 检查员; （英国公共汽车或火车上的）查票员; （警察）巡官; 检阅官
pause,n. 暂时的停顿; 犹豫; （诗中）节奏的停顿; [乐]延长号 vi. 暂停，中止; 逗留，停滞; 
note,n. 笔记; 音符; 便笺; 钞票 vt. 注意; 记录; 指出; 对…加注释
part,n. 部分; 零件; 参加; 地区 vt. 使分裂; 拆移; 使分开 vi. 分开; 分离; 分岔 
raincoat,n. 雨衣
pause,n. 暂时的停顿; 犹豫; （诗中）节奏的停顿; [乐]延长号 vi. 暂停，中止; 逗留，停滞; 
note,n. 笔记; 音符; 便笺; 钞票 vt. 注意; 记录; 指出; 对…加注释abroad,adv. 到国外，在海外; 广为流传地 adj. 往国外的 n. 海外，异国
recorder,n. 录音机; 直笛; 记录员; 刑事法院法官
businessman,n. 商人; 实业家
shower,n. 淋浴; 阵雨; 淋浴器; 一大批 vi. 下阵雨; 似阵雨般降落; 洒落; 纷纷降落 vt. 
rest,n. 休息; 剩余部分; 支持物; 宁静，安宁 vt.& vi. （使）休息; （使）倚靠[支撑] 
active,adj. 积极的，活跃的，有生气的; 迅速的，敏捷的; 有效的，起作用的 n. [语法]主动语态; 
spell,vt. 拼写; 导致，意味着; 组成（一个词）的字母是… vi. 轮替 n. 符咒，咒语; 魅力; 
cloud,n. 云; 云状物; 一团; 阴影 vi. 布满云; 显得阴沉; 看起来忧愁） vt. 使难以理解;
drought,n. 旱灾; 干旱（时期），旱季; （长期的）缺乏; 枯竭
message,n. 消息; 信息; 要旨; 教训 v. 给…发消息; 给…留言
guard,n. 警卫; 狱吏，看守; 护卫队; 防护装置 vt. 看守; 保卫，守护; 加防护装置; 谨慎使用
pupil,n. 学生; [解]瞳孔; 未成年人; [法]被监护人
chopstick,n. 筷子
wise,adj. 聪明的，有智慧的; 博学的，博识的; 明白的; 像智者的 vt. 使知道，使懂得; 教导;
light,n. 光; 发光体; 电灯; 点火器 adj. 轻的; 明亮的; 浅色的; 少量的 v. 点燃; 照
bit,n. 一点，一块; 少量，少许; 一会儿，一转眼; [计] 比特（二进位制信息单位） adj. 很小
decision,n. 决定; 决议; 果断; （法院的）判决 vt. [口语][拳击]靠判定击败（对手）
form,n. 表格; 方式; 形状，形式; 外形 vt. 形成; 构成; 组织; 塑造 vi. 形成，产生;
windy,adj. 有风的; 腹胀的; 吹牛的; 空谈的
yet,adv. 还; 但是; 已经; 又，再 conj. 然而，但是
worried,adj. 担心的; 困恼的，为难的 v. 担心( worry的过去式和过去分词)
harm,n. 危害; 伤害; 损害 vt. 危害; 伤害; 损害
headache,n. 头痛; 令人头痛的事
noodle,n. 面条; 傻子， 笨蛋 vi. （乐师）弹拨乐器，（即兴）演奏; [口语]长时间地思考，反复酝酿
fire,n. 火灾; 火，燃烧物; 射击，发射; 热情 vt.& vi. 开火，射击; 燃烧; 引爆炸药; cinema,n. 电影; 电影院; 电影艺术; 电影业
nature,n. 自然; 天性; 天理; 类型
clear,adj. 明确的; 清澈的; 清楚的，明白的; 清晰的，明亮的 adv. 完全地; 清晰地; 整整 
midnight,n. 子夜，午夜; 漆黑; 一段黑暗阴暗的时间; 漏夜
neighbour,n. 邻居; 邻国; 邻近的人[物]; 世人 vt. 接壤; 邻接 vi. 邻近; 与…有睦邻关系 
